start	Принцесса неземной красоты: Что такие симпатичные котосминожки делают в нашей глуши?	1 2

1	Слухи о твоей красоте заставили сделать небольшой крюк в нашем путешествии	11

2	Мы тут проездом - нужно быстренько подзаправиться, и дальше покорять бесконечные космические пространства	1111

11	Надеюсь, что слухи не обманули?	112 113 111

111	страстно поцеловать принцессу	1121 1122 1123

112	Ты превзошла все ожидания!	1124

113	Ну могло быть и получше...	1111

1111 bad end	Принцесса оскорблена вашей черствостью, а команда не одобряет такое пренебрежительное отношение к даме. В общем, поскорей уносите отсюда ноги, пусть даже без дозаправки!	0 0 0 0 -10 -10

1121 good end	Вы уединяетесь с принцессой в своей кауюте, а под утро красавица покидает судно, оставив вам на память медальон со своим портретом.	10 10 0 5 5 5

1122 bad end	Вы уединяетесь с принцессой в своей кауюте, а после безумной ночи любви вы обнаруживаете какие-то странные высыпания на своих тентаклях. Похоже придется обратиться к медикам...	10 10 -5 5 5 5

1123 good end	Вы уединяетесь с принцессой в своей кауюте, а после безумной ночи любви с инопланетянкой вы обнаруживаете, что ваша имунная система начала работать с удвоенной силой, а физическая выносливость утроилась. Неплохой побочный эффект!	10 10 10 5 5 5

1124 good end	Красавица польщена и покидает судно, оставив вам на память медальон со своим портретом.	5 5 0 5 0 5

