start	Спасите-помогите! За мной погоня!	1 2 3

1	Брысь отсюда!	11 12

2	Почему за тобой гонятся?	21

3	Добро пожаловать на борт! мы тебя защитим	31

21	 Вчера ограбили королевскую казну, и все почему-то решили, что это был я.	211 3 212

211	А почему я должен тебе доверять?	2111

212	Прости, но я должен сдать тебя местным властям	11 2121

2111	Я был дома и никуда не выходил, а они хотят растерзать меня без суда и следствия. Прошу, не отдавайте меня разъяренной толпе!	3 212

11 bad end	Вы не помогли выдающемуся общественному деятелю планеты, его схватили и замучили до смерти представители кровавого режима. Отличная работа, капитан!	10 5 0 0 -5 -5

12 bad end	Вы позволили сбежать опасному преступнику, которого преследует вся галактика. Отличная работа, капитан!	10 5 0 0 -5 -5


2121 good end	Вот это удача! Вы помогли поймать опасного преступника, которого преследует преследует вся галактика. За его голову была назначена награда 100500 золотых монет	10 5 0 0 5 5


31 bad end	Поздравляем! Вы помогли сбежать опасному преступнику, которого преследует вся галактика, и теперь ваш корабль вне закона. Ну нельзя же верить первому встречному!	10 5 0 0 -5 -5


31 bad end	Поздравляем! Ваш гость оказался опасным рецидивистом, ограбившим несчастную планету. Теперь у вас на борту преступник, а вы по мнению полиции - его подельники	10 5 0 0 -5 -5

